Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
2434,graph_29_33,1,28,43,124.0,23,132,0.2909984588623047,2
2435,graph_29_34,1,29,48,95.0,29,178,2.947244167327881,2
2436,graph_29_35,1,29,49,62.0,9,155,0.14110207557678223,2
2437,graph_29_36,1,29,45,44.0,14,184,0.18955063819885254,2
2438,graph_29_37,1,29,50,98.0,26,209,0.3181421756744385,2
2439,graph_29_38,1,28,52,58.0,12,164,0.24918603897094727,2
2440,graph_29_39,1,29,51,112.0,18,259,0.26985764503479004,2
2441,graph_29_40,1,29,46,111.0,16,131,0.21761465072631836,2
2442,graph_29_41,1,29,47,79.0,25,211,0.41969823837280273,2
2443,graph_29_42,1,29,46,104.0,18,124,0.23098516464233398,2
2444,graph_29_43,1,29,52,113.0,20,239,0.6090161800384521,2
2445,graph_29_44,1,29,61,63.0,18,170,0.5754125118255615,2
2446,graph_29_45,1,29,49,37.0,9,119,0.18017172813415527,2
2447,graph_29_46,1,29,49,74.0,18,136,0.3335273265838623,2
2448,graph_29_47,1,29,71,141.0,24,176,0.4394557476043701,2
2449,graph_29_48,1,29,66,102.0,22,133,0.48525214195251465,2
2450,graph_29_49,1,29,46,128.0,19,162,0.2366797924041748,2
2451,graph_29_50,1,29,53,191.0,39,270,1.2614996433258057,2
2452,graph_29_51,1,29,49,194.0,31,279,0.66288161277771,2
2453,graph_29_52,1,29,56,82.0,23,140,0.29079127311706543,2
2454,graph_29_53,1,29,63,128.0,38,154,0.41550517082214355,2
2455,graph_29_54,1,29,62,91.0,28,216,0.49977827072143555,2
2456,graph_29_55,1,29,63,67.0,16,252,0.348341703414917,2
2457,graph_29_56,1,29,58,148.0,27,252,0.8716287612915039,2
2458,graph_29_57,1,29,47,299.0,49,275,1.1462619304656982,2
2459,graph_29_58,1,29,76,87.0,22,162,0.2904043197631836,2
2460,graph_29_59,1,29,47,107.0,29,168,0.5903687477111816,2
2461,graph_29_60,1,29,54,129.0,17,228,0.6006717681884766,2
2462,graph_29_61,1,29,59,90.0,37,143,1.9437496662139893,2
2463,graph_29_62,1,29,51,223.0,47,248,0.3517284393310547,2
2464,graph_29_63,1,29,60,245.0,43,232,1.7993066310882568,2
2465,graph_29_64,1,29,62,136.0,32,257,0.9232676029205322,2
2466,graph_29_65,1,29,56,203.0,34,224,0.5450809001922607,2
2467,graph_29_66,1,29,59,204.0,46,257,0.5302693843841553,2
2468,graph_29_67,1,29,55,237.0,45,277,0.5066328048706055,2
2469,graph_29_68,1,29,56,134.0,29,199,0.412869930267334,2
2470,graph_29_69,1,29,63,138.0,37,233,0.8268723487854004,2
2471,graph_29_70,1,29,58,140.0,27,181,0.5216259956359863,2
2472,graph_29_71,1,29,83,89.0,24,184,1.134563684463501,2
2473,graph_29_72,1,29,70,207.0,42,281,1.0142428874969482,2
2474,graph_29_73,1,29,60,189.0,38,266,0.4601280689239502,2
2475,graph_29_74,1,29,68,78.0,26,280,0.6270084381103516,2
2476,graph_29_75,1,29,67,346.0,57,337,3.944237232208252,2
2477,graph_29_76,1,29,73,157.0,43,202,2.2148196697235107,2
2478,graph_29_77,1,29,82,253.0,60,356,10.520015001296997,2
2479,graph_29_78,1,29,59,361.0,77,392,3.629488468170166,2
2480,graph_29_79,1,29,61,279.0,78,311,4.111412525177002,2
2481,graph_29_80,1,29,68,208.0,55,382,1.0722196102142334,2
2482,graph_29_81,1,29,60,151.0,28,200,0.7080752849578857,2
2483,graph_29_82,1,29,77,209.0,38,309,2.335698127746582,2
2484,graph_29_83,1,29,77,251.0,50,273,3.3728866577148438,2
2485,graph_29_84,1,29,83,228.0,58,374,2.9194352626800537,2
2486,graph_29_85,1,29,97,198.0,50,289,11.822675228118896,2
2487,graph_29_86,1,29,66,321.0,64,256,2.3702402114868164,2
2488,graph_29_87,1,29,70,154.0,41,245,0.7999289035797119,2
2489,graph_29_88,1,29,60,488.0,81,382,3.511659622192383,2
2490,graph_29_89,1,29,76,139.0,39,308,0.9656660556793213,2
2491,graph_29_90,1,29,74,240.0,44,223,3.4489593505859375,2
2492,graph_29_91,1,29,61,468.0,115,508,6.54901385307312,2
2493,graph_29_92,1,29,99,224.0,43,358,2.3792080879211426,2
2494,graph_29_93,1,29,72,297.0,58,465,2.8711371421813965,2
2495,graph_29_94,1,29,80,239.0,48,253,1.4975361824035645,2
2496,graph_29_95,1,29,62,140.0,37,381,0.3783135414123535,2
2497,graph_29_96,1,29,58,401.0,70,259,1.7953836917877197,2
2498,graph_29_97,1,29,74,352.0,85,439,4.265524864196777,2
2499,graph_29_98,1,29,70,326.0,79,319,6.4789958000183105,2
